date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:49	215522/215522	---M--	200	added ('OK')	image/png	etag:%22349e2-55d7b1557f600%22	http://bonjourbebe.pl/2/gfx/galeria1/10.png	bonjourbebe.pl/2/gfx/galeria1/10.png	(from http://bonjourbebe.pl/2/galeria.html)
15:38:09	245023/245023	---M--	200	added ('OK')	image/png	etag:%223bd1f-55d7b15767a80%22	http://bonjourbebe.pl/2/gfx/galeria1/12.png	bonjourbebe.pl/2/gfx/galeria1/12.png	(from http://bonjourbebe.pl/2/galeria.html)
15:38:11	159465/159465	---M--	200	added ('OK')	image/png	etag:%2226ee9-55d7b15767a80%22	http://bonjourbebe.pl/2/gfx/galeria1/13.png	bonjourbebe.pl/2/gfx/galeria1/13.png	(from http://bonjourbebe.pl/2/galeria.html)
15:38:22	312776/312776	---M--	200	added ('OK')	image/png	etag:%224c5c8-55d7b15673840%22	http://bonjourbebe.pl/2/gfx/galeria1/11.png	bonjourbebe.pl/2/gfx/galeria1/11.png	(from http://bonjourbebe.pl/2/galeria.html)
15:38:40	277139/277139	---M--	200	added ('OK')	image/png	etag:%2243a93-55d7b1585bcc0%22	http://bonjourbebe.pl/2/gfx/galeria1/14.png	bonjourbebe.pl/2/gfx/galeria1/14.png	(from http://bonjourbebe.pl/2/galeria.html)
15:38:57	246656/246656	---M--	200	added ('OK')	image/png	etag:%223c380-55d7b1594ff00%22	http://bonjourbebe.pl/2/gfx/galeria1/15.png	bonjourbebe.pl/2/gfx/galeria1/15.png	(from http://bonjourbebe.pl/2/galeria.html)
15:39:03	269211/269211	---M--	200	added ('OK')	image/png	etag:%2241b9b-55d7b1594ff00%22	http://bonjourbebe.pl/2/gfx/galeria1/16.png	bonjourbebe.pl/2/gfx/galeria1/16.png	(from http://bonjourbebe.pl/2/galeria.html)
15:39:27	326900/326900	---M--	200	added ('OK')	image/png	etag:%224fcf4-55d7b15a44140%22	http://bonjourbebe.pl/2/gfx/galeria1/17.png	bonjourbebe.pl/2/gfx/galeria1/17.png	(from http://bonjourbebe.pl/2/galeria.html)
15:39:31	254671/254671	---M--	200	added ('OK')	image/png	etag:%223e2cf-55d7b15b38380%22	http://bonjourbebe.pl/2/gfx/galeria1/18.png	bonjourbebe.pl/2/gfx/galeria1/18.png	(from http://bonjourbebe.pl/2/galeria.html)
15:40:39	1010206/1010206	---M--	200	added ('OK')	image/png	etag:%22f6a1e-55d9079576e00%22	http://bonjourbebe.pl/2/gfx/tloCennik.png	bonjourbebe.pl/2/gfx/tloCennik.png	(from http://bonjourbebe.pl/2/cennik.html)
